ID,Register,IDLEGAL,NOMBRE,APELLIDO,GENERO,NACIMIENTO,STATUS,Parent
1,01/01/2010,6121097846,GLORIA INES,MORALES MARIN,0,10/22/1970,1,0
2,01/01/2010,2016257119,SAUL ALFONSO ,PIÑERES,0,01/21/1986,1,0
3,01/01/2010,9138281556,JULIANA ,PEDRAZA,2,10/16/1957,1,0
4,01/01/2010,4545205705,GUSTAVO ,ROJAS,0,11/06/1962,1,0
5,01/01/2010,3845775806,JAIME ,AVILA,0,07/27/1983,1,0
6,01/01/2010,5128736313,EDUARDO,PEREZ HERNANDEZ,0,05/27/1989,1,0
7,01/01/2010,6095778259,BEIMAR,CARRILLO,1,06/11/1996,1,0
8,01/01/2010,7845408655,CARLOS ,GARCIA,0,01/05/1977,1,0
9,01/01/2010,6872259810,RICARDO,BEDOYA,1,09/17/1950,1,0
10,01/01/2010,577781700,YULY ,PRIETO BOCANEGRA,0,01/20/1942,1,0
11,01/01/2010,3072930271,JULIAN ,CAMARGO,0,06/23/1960,1,0
12,01/01/2010,4673531450,CAROLINA,TULCAN,0,10/15/1991,1,0
13,01/01/2010,2939535979,GUILLERMO LEON ,OVIEDO ARIAS,1,09/01/1979,1,0
14,01/01/2010,401888400,LUIS CARLOS,SUTA,0,04/25/1997,1,0
15,01/01/2010,3472995899,OSCAR ,MARTINEZ,0,05/14/1978,1,0
16,01/02/2010,375118250,OLGA,GONZALEZ,0,05/13/1953,1,1
17,01/02/2010,6803274114,JAIME ANDRES,PINEDA,0,02/05/1962,1,11
18,01/02/2010,6709975711,MARIA,BARRERA,2,05/17/1986,1,2
19,01/02/2010,9347828816,YESID,CASTILLO,0,11/25/1975,1,8
20,01/02/2010,9332470937,LUIS ,CEPEDA,0,03/29/1947,1,4
21,01/02/2010,4116650602,HERNAN ,CUERVO,0,10/23/1943,1,16
22,01/02/2010,2122868275,TATIANA ,LOZANO,0,11/05/1969,1,11
23,01/02/2010,870140303,JEISON ,LEON,0,03/22/1961,1,8
24,01/02/2010,7757986296,CLAUDIA ,TORRES AVILA,0,11/02/1973,1,1
25,01/02/2010,3953343566,JOSE LUIS ,CELY PRIETO,0,06/28/1994,1,21
26,01/02/2010,3871185958,MIGUEL,SOSA,0,07/29/1967,1,20
27,01/02/2010,5690732239,FERNEY ,SANCHEZ ,1,06/27/1946,2,8
28,01/02/2010,2436446295,RICARDO ,VILLATE ,0,01/24/1965,1,12
29,01/02/2010,4629198428,FREDIE EDUARDO ,GAITAN,0,09/07/1949,1,14
30,01/02/2010,5881936260,GEIVER EDUARDO,DAVILA,0,05/12/1970,1,1
31,01/02/2010,321938460,LEIDY ,MATIZ,0,03/31/1992,1,7
32,01/02/2010,7264524953,DIANA ISABEL ,FIGUEREDO,0,09/06/1979,1,7
33,01/02/2010,8699669197,HERNAN ,LOPEZ,0,06/19/1946,1,12
34,01/02/2010,4807192729,HUMBERTO ,CASTILLO,1,01/04/1981,1,2
35,01/02/2010,2230472578,AIDA,LUZ,2,12/19/1948,1,15
